plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
POL.PoznanCity_6295.58082,16.90383676,52.4085568,19.73,25.83,14.38,47.28,27.03,24.7336,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6313.58101,16.93119471,52.42539546,16.35,19.08,12.7,57.38,23.43,21.844,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6314.58101,16.93245149,52.42504153,16.35,19.08,12.7,57.38,23.43,21.844,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6315.58100,16.93332505,52.42478597,17.73,16.65,12.38,59.98,23.25,21.2936,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.PoznanCity_6315.58101,16.93391657,52.42498621,17.73,16.65,12.38,59.98,23.25,21.2936,297.1404114,21.5375824,73.69692993,112.173912,33.79419708,55.93776703
POL.StrzelceDrezdenko_5677.58606,16.00590921,52.8910137,9.68,4.45,24.63,86.53,8.48,42.3636,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5678.58606,16.00799337,52.8907661,9.6,5.45,28.35,85.23,9.25,48.762,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5679.58605,16.0092375,52.89011541,10.35,6.9,31.28,85.3,8.03,53.8016,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5679.58606,16.00865562,52.89060672,9.6,5.45,28.35,85.23,9.25,48.762,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5680.58605,16.01015012,52.88950886,11.05,8.13,29.73,82.43,10.25,51.1356,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5680.58606,16.01143314,52.89097787,9.18,6.8,34.68,84.23,8.98,59.6496,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5681.58606,16.01161452,52.8911435,9.18,6.8,34.68,84.23,8.98,59.6496,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
POL.StrzelceDrezdenko_5681.58607,16.01276862,52.89205377,10.73,5.45,26.35,84.73,9.83,45.322,251.255188,17.74746132,109.2606506,70.89137268,29.82677269,23.52890778
